Zeit;EventTyp;VonZustand;ZuZustand;PatientId;ArztId;SchwesterId
112.30;wartet_in_rezeption_warteschlange;;;20;;
113.64;beendet_arzt_behandlung;;;18;1;
113.64;verlaesst_nach_arzt_ohne_rezeption;;;18;;
113.64;geht_zum_ausgang;;;18;;
113.64;verlaesst_wartezimmer_fuer_arzt;;;17;;
113.64;geht_zum_arzt;;;17;;
113.81;betritt_arztzimmer;;;17;;
113.81;startet_arzt_behandlung;;;17;1;
113.89;verlaesst_klinik;;;18;;
113.92;beendet_rezeption;;;19;;
113.92;rezeption_hat_termin;;;19;;
113.92;hat_termin;;;19;;
113.92;benoetigt_schwester_vorbereitung;;;19;;
113.92;schwester_frei;;;19;;
113.92;geht_zur_schwester;;;19;;
113.92;rezeption_frei;;;20;;
113.92;betritt_rezeption;;;20;;
113.92;behandlung_nicht_fertig;;;20;;
113.92;startet_rezeption;;;20;;
114.09;betritt_schwesterzimmer;;;19;;
114.09;startet_schwester_prozess;;;19;;1
114.18;beendet_rezeption;;;20;;
114.18;rezeption_hat_termin;;;20;;
114.18;hat_termin;;;20;;
114.18;keine_schwester_vorbereitung;;;20;;
114.18;ueberspringt_schwester;;;20;;
114.18;geht_ins_wartezimmer_fuer_arzt;;;20;;
114.35;betritt_wartezimmer_fuer_arzt;;;20;;
114.47;betritt_klinik;;;21;;
114.47;geht_zur_rezeption;;;21;;
114.56;betritt_rezeption_warteschlange;;;21;;
114.56;rezeption_frei;;;21;;
114.56;betritt_rezeption;;;21;;
114.56;behandlung_nicht_fertig;;;21;;
114.56;startet_rezeption;;;21;;
115.78;betritt_klinik;;;22;;
115.78;geht_zur_rezeption;;;22;;
115.87;betritt_rezeption_warteschlange;;;22;;
115.87;rezeption_nicht_frei;;;22;;
115.87;wartet_in_rezeption_warteschlange;;;22;;
116.78;betritt_klinik;;;23;;
116.78;geht_zur_rezeption;;;23;;
116.86;betritt_rezeption_warteschlange;;;23;;
116.86;rezeption_nicht_frei;;;23;;
116.86;wartet_in_rezeption_warteschlange;;;23;;
116.93;betritt_klinik;;;24;;
116.93;geht_zur_rezeption;;;24;;
117.01;betritt_rezeption_warteschlange;;;24;;
117.01;rezeption_nicht_frei;;;24;;
117.01;wartet_in_rezeption_warteschlange;;;24;;
117.08;beendet_rezeption;;;21;;
117.08;rezeption_hat_termin;;;21;;
117.08;hat_termin;;;21;;
117.08;keine_schwester_vorbereitung;;;21;;
117.08;ueberspringt_schwester;;;21;;
117.08;geht_ins_wartezimmer_fuer_arzt;;;21;;
117.08;rezeption_frei;;;22;;
117.08;betritt_rezeption;;;22;;
117.08;behandlung_nicht_fertig;;;22;;
117.08;startet_rezeption;;;22;;
117.25;betritt_wartezimmer_fuer_arzt;;;21;;
117.84;beendet_rezeption;;;22;;
117.84;rezeption_hat_termin;;;22;;
117.84;hat_termin;;;22;;
117.84;keine_schwester_vorbereitung;;;22;;
117.84;ueberspringt_schwester;;;22;;
117.84;geht_ins_wartezimmer_fuer_arzt;;;22;;
117.84;rezeption_frei;;;23;;
117.84;betritt_rezeption;;;23;;
117.84;behandlung_nicht_fertig;;;23;;
117.84;startet_rezeption;;;23;;
118.01;betritt_wartezimmer_fuer_arzt;;;22;;
118.35;betritt_klinik;;;25;;
118.35;geht_zur_rezeption;;;25;;
118.35;beendet_rezeption;;;23;;
118.35;rezeption_hat_termin;;;23;;
118.35;hat_termin;;;23;;
118.35;benoetigt_schwester_vorbereitung;;;23;;
118.35;schwester_frei;;;23;;
118.35;geht_zur_schwester;;;23;;
118.35;rezeption_frei;;;24;;
118.35;betritt_rezeption;;;24;;
118.35;behandlung_nicht_fertig;;;24;;
118.35;startet_rezeption;;;24;;
118.43;betritt_rezeption_warteschlange;;;25;;
118.43;rezeption_nicht_frei;;;25;;
118.43;wartet_in_rezeption_warteschlange;;;25;;
118.52;betritt_schwesterzimmer;;;23;;
119.62;beendet_arzt_behandlung;;;14;2;
119.62;geht_nach_arzt_zur_rezeption;;;14;;
119.62;verlaesst_wartezimmer_fuer_arzt;;;13;;
119.62;geht_zum_arzt;;;13;;
119.67;betritt_klinik;;;26;;
119.67;geht_zur_rezeption;;;26;;
119.76;betritt_rezeption_warteschlange;;;26;;
119.76;rezeption_nicht_frei;;;26;;
119.76;wartet_in_rezeption_warteschlange;;;26;;
119.79;betritt_rezeption_warteschlange;;;14;;
119.79;rezeption_nicht_frei;;;14;;
119.79;wartet_in_rezeption_warteschlange;;;14;;
119.79;betritt_arztzimmer;;;13;;
119.79;startet_arzt_behandlung;;;13;2;
120.57;betritt_klinik;;;27;;
120.57;geht_zur_rezeption;;;27;;
120.66;betritt_rezeption_warteschlange;;;27;;
120.66;rezeption_nicht_frei;;;27;;
120.66;wartet_in_rezeption_warteschlange;;;27;;
120.86;beendet_rezeption;;;24;;
120.86;rezeption_hat_termin;;;24;;
120.86;hat_termin;;;24;;
120.86;keine_schwester_vorbereitung;;;24;;
120.86;ueberspringt_schwester;;;24;;
120.86;geht_ins_wartezimmer_fuer_arzt;;;24;;
120.86;rezeption_frei;;;25;;
120.86;betritt_rezeption;;;25;;
