Prognosemodell-Auswertung
==================================================
Prognoseprüfungen gesamt: 6.334
Richtig (+/-30 % oder +/-5 min): 5.263
Trefferquote: 83,09 %
Prognose-Abbrüche: 55
Aufnahmeprognose-Abweisungen: 97
Mittlere geschaetzte Restzeit: 43,54 min
Mittlere tatsaechliche Restzeit: 49,48 min
Mittlere absolute Abweichung: 12,42 min
Mittlere prognostizierte Bearbeitungs-Restzeit: 8,20 min
Mittlere gesampelte Bearbeitungs-Restzeit: 8,20 min
Mittlere absolute Bearbeitungs-Abweichung: 0,00 min

Trefferquote je Phase
--------------------------------------------------
Ankunft: 945/1281 (73,77 %) | Prognose 75,51 min | Ist 79,36 min | abs. Abw. 23,98 min
  Bearbeitung: Prognose 12,12 min | Sample 12,12 min | abs. Abw. 0,00 min
NachArzt: 1219/1219 (100,00 %) | Prognose 17,45 min | Ist 17,47 min | abs. Abw. 0,02 min
  Bearbeitung: Prognose 1,16 min | Sample 1,16 min | abs. Abw. 0,00 min
NachRezeption: 993/1230 (80,73 %) | Prognose 43,75 min | Ist 52,48 min | abs. Abw. 13,25 min
  Bearbeitung: Prognose 10,08 min | Sample 10,08 min | abs. Abw. 0,00 min
NachSchwester: 569/688 (82,70 %) | Prognose 42,99 min | Ist 50,99 min | abs. Abw. 12,17 min
  Bearbeitung: Prognose 7,64 min | Sample 7,64 min | abs. Abw. 0,00 min
VorArzt: 989/1228 (80,54 %) | Prognose 35,24 min | Ist 42,76 min | abs. Abw. 11,07 min
  Bearbeitung: Prognose 7,60 min | Sample 7,60 min | abs. Abw. 0,00 min
VorSchwester: 548/688 (79,65 %) | Prognose 45,21 min | Ist 55,63 min | abs. Abw. 14,00 min
  Bearbeitung: Prognose 12,06 min | Sample 12,06 min | abs. Abw. 0,00 min


Details
PatientId;Phase;ZeitpunktMin;PrognoseRestMin;IstRestMin;AbweichungMin;AbweichungProzent;PrognoseBearbeitungsRestMin;GesampelteBearbeitungsRestMin;AbweichungBearbeitungMin;AbweichungBearbeitungProzent;Korrekt;PrognoseFertigBisSchichtende
27;NachRezeption;95.73;6.77;6.77;0.00;0.00;2.52;2.52;0.00;0.00;1;1
27;VorArzt;96.46;6.04;6.04;0.00;0.00;2.52;2.52;0.00;0.00;1;1
27;NachArzt;102.25;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
13;Ankunft;37.35;81.27;67.66;13.61;20.12;26.77;26.77;0.00;0.00;1;1
13;NachRezeption;47.52;63.61;57.49;6.12;10.65;26.15;26.15;0.00;0.00;1;1
13;VorSchwester;47.52;63.61;57.49;6.12;10.65;26.15;26.15;0.00;0.00;1;1
13;NachSchwester;55.23;51.73;49.77;1.96;3.94;18.60;18.60;0.00;0.00;1;1
13;VorArzt;84.86;19.02;20.14;-1.12;-5.57;18.60;18.60;0.00;0.00;1;1
13;NachArzt;94.44;10.56;10.56;0.00;0.00;9.19;9.19;0.00;0.00;1;1
18;Ankunft;55.26;49.58;50.28;-0.69;-1.38;6.36;6.36;0.00;0.00;1;1
18;NachRezeption;59.65;44.31;45.88;-1.57;-3.42;5.03;5.03;0.00;0.00;1;1
18;VorSchwester;59.65;44.31;45.88;-1.57;-3.42;5.03;5.03;0.00;0.00;1;1
18;NachSchwester;61.98;41.99;43.56;-1.57;-3.60;2.87;2.87;0.00;0.00;1;1
18;VorArzt;100.68;4.85;4.85;0.00;0.00;2.87;2.87;0.00;0.00;1;1
18;NachArzt;105.29;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
20;Ankunft;70.33;27.26;37.65;-10.38;-27.58;15.67;15.67;0.00;0.00;1;1
20;NachRezeption;70.51;24.47;37.48;-13.01;-34.72;15.58;15.58;0.00;0.00;0;1
20;VorSchwester;70.51;24.47;37.48;-13.01;-34.72;15.58;15.58;0.00;0.00;0;1
20;NachSchwester;77.41;18.67;30.58;-11.91;-38.94;8.85;8.85;0.00;0.00;0;1
20;VorArzt;85.70;14.47;22.28;-7.81;-35.04;8.85;8.85;0.00;0.00;0;1
20;NachArzt;99.57;8.41;8.41;0.00;0.00;0.36;0.36;-0.00;-0.00;1;1
